precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,party_label,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
11014,11014,11014,11,საგარეჯო,14,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,227,0.6599,1287,364,130,296,0.2828,0.101,0.23,20,0.0549
11014,11014,11014,11,საგარეჯო,14,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,86,0.25,1287,364,130,296,0.2828,0.101,0.23,20,0.0549
11014,11014,11014,11,საგარეჯო,14,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,3,0.0087,1287,364,130,296,0.2828,0.101,0.23,20,0.0549
11014,11014,11014,11,საგარეჯო,14,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,7,0.0203,1287,364,130,296,0.2828,0.101,0.23,20,0.0549
11014,11014,11014,11,საგარეჯო,14,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,21,0.061,1287,364,130,296,0.2828,0.101,0.23,20,0.0549
11015,11015,11015,11,საგარეჯო,15,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,224,0.631,948,364,112,290,0.384,0.1181,0.3059,9,0.0247
11015,11015,11015,11,საგარეჯო,15,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,125,0.3521,948,364,112,290,0.384,0.1181,0.3059,9,0.0247
11015,11015,11015,11,საგარეჯო,15,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,2,0.0056,948,364,112,290,0.384,0.1181,0.3059,9,0.0247
11015,11015,11015,11,საგარეჯო,15,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,2,0.0056,948,364,112,290,0.384,0.1181,0.3059,9,0.0247
11015,11015,11015,11,საგარეჯო,15,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,2,0.0056,948,364,112,290,0.384,0.1181,0.3059,9,0.0247
11016,11016,11016,11,საგარეჯო,16,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,334,0.6627,1396,526,181,395,0.3768,0.1297,0.283,22,0.0418
11016,11016,11016,11,საგარეჯო,16,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,156,0.3095,1396,526,181,395,0.3768,0.1297,0.283,22,0.0418
11016,11016,11016,11,საგარეჯო,16,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.002,1396,526,181,395,0.3768,0.1297,0.283,22,0.0418
11016,11016,11016,11,საგარეჯო,16,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,2,0.004,1396,526,181,395,0.3768,0.1297,0.283,22,0.0418
11016,11016,11016,11,საგარეჯო,16,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,11,0.0218,1396,526,181,395,0.3768,0.1297,0.283,22,0.0418
11017,11017,11017,11,საგარეჯო,17,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,102,0.5,586,218,103,196,0.372,0.1758,0.3345,14,0.0642
11017,11017,11017,11,საგარეჯო,17,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,93,0.4559,586,218,103,196,0.372,0.1758,0.3345,14,0.0642
11017,11017,11017,11,საგარეჯო,17,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.0049,586,218,103,196,0.372,0.1758,0.3345,14,0.0642
11017,11017,11017,11,საგარეჯო,17,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,5,0.0245,586,218,103,196,0.372,0.1758,0.3345,14,0.0642
11017,11017,11017,11,საგარეჯო,17,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,3,0.0147,586,218,103,196,0.372,0.1758,0.3345,14,0.0642
11018,11018,11018,11,საგარეჯო,18,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,136,0.544,787,257,88,226,0.3266,0.1118,0.2872,7,0.0272
11018,11018,11018,11,საგარეჯო,18,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,93,0.372,787,257,88,226,0.3266,0.1118,0.2872,7,0.0272
11018,11018,11018,11,საგარეჯო,18,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,1,0.004,787,257,88,226,0.3266,0.1118,0.2872,7,0.0272
11018,11018,11018,11,საგარეჯო,18,parl2012_2015_11_43,გიორგი დავითაია,საინიციატივო ჯგუფი,4,0.016,787,257,88,226,0.3266,0.1118,0.2872,7,0.0272
11018,11018,11018,11,საგარეჯო,18,parl2012_2015_11_44,ზურაბ ჯორბენაძე,საინიციატივო ჯგუფი,16,0.064,787,257,88,226,0.3266,0.1118,0.2872,7,0.0272
11019,11019,11019,11,საგარეჯო,19,parl2012_2015_11_8,ირმა ინაშვილი,საქართველოს პატრიოტთა ალიანსი,171,0.57,914,307,91,234,0.3359,0.0996,0.256,0,0
11019,11019,11019,11,საგარეჯო,19,parl2012_2015_11_41,თამარ ხიდაშელი,ქართული ოცნება,114,0.38,914,307,91,234,0.3359,0.0996,0.256,0,0
11019,11019,11019,11,საგარეჯო,19,parl2012_2015_11_42,მიხეილ ანდღულაძე,საინიციატივო ჯგუფი,0,0,914,307,91,234,0.3359,0.0996,0.256,0,0
