"district_id","party_id","name_ka","round","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"national","burjanadze_united_opposition_2014","ბექა ხეცაძე",1,36,3455598,1489131,569700,1181362,3429019,26579,60580,2.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბონდო სურმანიძე",1,125,3455598,1489131,569700,1181362,3429019,26579,60580,8.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბორისი ბერაია",1,152,3455598,1489131,569700,1181362,3429019,26579,60580,0.000107,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბუთხუზი აბულაძე",1,162,3455598,1489131,569700,1181362,3429019,26579,60580,0.000114,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბუჭულია კიკვაძე",1,60,3455598,1489131,569700,1181362,3429019,26579,60580,4.2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","ბუხუტი ჭაჭუა",1,16,3455598,1489131,569700,1181362,3429019,26579,60580,1.1e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გაგა გაგაძე",1,42,3455598,1489131,569700,1181362,3429019,26579,60580,3e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გაგა ნემსიწვერიძე",1,28,3455598,1489131,569700,1181362,3429019,26579,60580,2e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გაგა სახელაშვილი",1,143,3455598,1489131,569700,1181362,3429019,26579,60580,0.000101,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გაზანფარ კურბანოვი",1,4,3455598,1489131,569700,1181362,3429019,26579,60580,3e-06,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გაიოზ ბურჯანაძე",1,64,3455598,1489131,569700,1181362,3429019,26579,60580,4.5e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გარეკინ ნურბეკიან",1,54,3455598,1489131,569700,1181362,3429019,26579,60580,3.8e-05,0.430933,0.164863,0.341869,0.040681
"national","burjanadze_united_opposition_2014","გარნიკ სიმონიანი",1,1023,3455598,1489131,569700,1181362,3429019,26579,60580,0.000722,0.430933,0.164863,0.341869,0.040681
