precinct_id,precinct_key,district_id,electoral_district_id,district_name_ka,precinct_number,party_id,name_ka,votes,vote_share,registered,voted,voted_noon,voted_5pm,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
79017,79017,79017,79,ბათუმი,17,christian_democrats_2008,ნიაზ ზოსიძე,97,0.1793,1448,560,267,478,0.3867,0.1844,0.3301,19,0.0339
79018,79018,79018,79,ბათუმი,18,adj2008_united_communist,თეიმურაზ სამნიძე,9,0.0195,1533,470,245,401,0.3066,0.1598,0.2616,9,0.0191
79018,79018,79018,79,ბათუმი,18,adj2008_kartuli_dasi,ბესიკი რატიანი,9,0.0195,1533,470,245,401,0.3066,0.1598,0.2616,9,0.0191
79018,79018,79018,79,ბათუმი,18,industry_sakartvelo,ირაკლი ჯაში,7,0.0152,1533,470,245,401,0.3066,0.1598,0.2616,9,0.0191
79018,79018,79018,79,ბათუმი,18,adj2008_chven_tviton,ზურაბ ცეცხლაძე,19,0.0412,1533,470,245,401,0.3066,0.1598,0.2616,9,0.0191
79018,79018,79018,79,ბათუმი,18,unm,ზაზა გოგოტიშვილი,343,0.744,1533,470,245,401,0.3066,0.1598,0.2616,9,0.0191
79018,79018,79018,79,ბათუმი,18,christian_democrats_2008,ნიაზ ზოსიძე,74,0.1605,1533,470,245,401,0.3066,0.1598,0.2616,9,0.0191
79019,79019,79019,79,ბათუმი,19,adj2008_united_communist,თეიმურაზ სამნიძე,40,0.0858,1446,485,223,416,0.3354,0.1542,0.2877,19,0.0392
79019,79019,79019,79,ბათუმი,19,adj2008_kartuli_dasi,ბესიკი რატიანი,10,0.0215,1446,485,223,416,0.3354,0.1542,0.2877,19,0.0392
79019,79019,79019,79,ბათუმი,19,industry_sakartvelo,ირაკლი ჯაში,14,0.03,1446,485,223,416,0.3354,0.1542,0.2877,19,0.0392
79019,79019,79019,79,ბათუმი,19,adj2008_chven_tviton,ზურაბ ცეცხლაძე,18,0.0386,1446,485,223,416,0.3354,0.1542,0.2877,19,0.0392
79019,79019,79019,79,ბათუმი,19,unm,ზაზა გოგოტიშვილი,316,0.6781,1446,485,223,416,0.3354,0.1542,0.2877,19,0.0392
79019,79019,79019,79,ბათუმი,19,christian_democrats_2008,ნიაზ ზოსიძე,68,0.1459,1446,485,223,416,0.3354,0.1542,0.2877,19,0.0392
79020,79020,79020,79,ბათუმი,20,adj2008_united_communist,თეიმურაზ სამნიძე,11,0.025,1465,454,244,408,0.3099,0.1666,0.2785,14,0.0308
79020,79020,79020,79,ბათუმი,20,adj2008_kartuli_dasi,ბესიკი რატიანი,2,0.0045,1465,454,244,408,0.3099,0.1666,0.2785,14,0.0308
79020,79020,79020,79,ბათუმი,20,industry_sakartvelo,ირაკლი ჯაში,6,0.0136,1465,454,244,408,0.3099,0.1666,0.2785,14,0.0308
79020,79020,79020,79,ბათუმი,20,adj2008_chven_tviton,ზურაბ ცეცხლაძე,13,0.0295,1465,454,244,408,0.3099,0.1666,0.2785,14,0.0308
79020,79020,79020,79,ბათუმი,20,unm,ზაზა გოგოტიშვილი,315,0.7159,1465,454,244,408,0.3099,0.1666,0.2785,14,0.0308
79020,79020,79020,79,ბათუმი,20,christian_democrats_2008,ნიაზ ზოსიძე,93,0.2114,1465,454,244,408,0.3099,0.1666,0.2785,14,0.0308
79021,79021,79021,79,ბათუმი,21,adj2008_united_communist,თეიმურაზ სამნიძე,12,0.0258,1552,479,260,427,0.3086,0.1675,0.2751,14,0.0292
79021,79021,79021,79,ბათუმი,21,adj2008_kartuli_dasi,ბესიკი რატიანი,2,0.0043,1552,479,260,427,0.3086,0.1675,0.2751,14,0.0292
79021,79021,79021,79,ბათუმი,21,industry_sakartvelo,ირაკლი ჯაში,8,0.0172,1552,479,260,427,0.3086,0.1675,0.2751,14,0.0292
79021,79021,79021,79,ბათუმი,21,adj2008_chven_tviton,ზურაბ ცეცხლაძე,17,0.0366,1552,479,260,427,0.3086,0.1675,0.2751,14,0.0292
79021,79021,79021,79,ბათუმი,21,unm,ზაზა გოგოტიშვილი,333,0.7161,1552,479,260,427,0.3086,0.1675,0.2751,14,0.0292
79021,79021,79021,79,ბათუმი,21,christian_democrats_2008,ნიაზ ზოსიძე,93,0.2,1552,479,260,427,0.3086,0.1675,0.2751,14,0.0292
79022,79022,79022,79,ბათუმი,22,adj2008_united_communist,თეიმურაზ სამნიძე,12,0.0237,1389,527,285,482,0.3794,0.2052,0.347,20,0.038
79022,79022,79022,79,ბათუმი,22,adj2008_kartuli_dasi,ბესიკი რატიანი,14,0.0276,1389,527,285,482,0.3794,0.2052,0.347,20,0.038
79022,79022,79022,79,ბათუმი,22,industry_sakartvelo,ირაკლი ჯაში,6,0.0118,1389,527,285,482,0.3794,0.2052,0.347,20,0.038
79022,79022,79022,79,ბათუმი,22,adj2008_chven_tviton,ზურაბ ცეცხლაძე,9,0.0178,1389,527,285,482,0.3794,0.2052,0.347,20,0.038
79022,79022,79022,79,ბათუმი,22,unm,ზაზა გოგოტიშვილი,338,0.6667,1389,527,285,482,0.3794,0.2052,0.347,20,0.038
79022,79022,79022,79,ბათუმი,22,christian_democrats_2008,ნიაზ ზოსიძე,128,0.2525,1389,527,285,482,0.3794,0.2052,0.347,20,0.038
79023,79023,79023,79,ბათუმი,23,adj2008_united_communist,თეიმურაზ სამნიძე,12,0.0226,1440,541,299,519,0.3757,0.2076,0.3604,9,0.0166
79023,79023,79023,79,ბათუმი,23,adj2008_kartuli_dasi,ბესიკი რატიანი,12,0.0226,1440,541,299,519,0.3757,0.2076,0.3604,9,0.0166
79023,79023,79023,79,ბათუმი,23,industry_sakartvelo,ირაკლი ჯაში,13,0.0245,1440,541,299,519,0.3757,0.2076,0.3604,9,0.0166
79023,79023,79023,79,ბათუმი,23,adj2008_chven_tviton,ზურაბ ცეცხლაძე,24,0.0453,1440,541,299,519,0.3757,0.2076,0.3604,9,0.0166
79023,79023,79023,79,ბათუმი,23,unm,ზაზა გოგოტიშვილი,388,0.7321,1440,541,299,519,0.3757,0.2076,0.3604,9,0.0166
79023,79023,79023,79,ბათუმი,23,christian_democrats_2008,ნიაზ ზოსიძე,81,0.1528,1440,541,299,519,0.3757,0.2076,0.3604,9,0.0166
