"district_id","party_id","party_num","name_ka","round","votes","vote_share","registered","voted","voted_noon","voted_5pm","main_list","special_list","turnout_pct","noon_pct","five_pct","invalid_ballots","invalid_pct"
"2","burjanadze_democratic","3","კახა კუკავა",1,5005,0.012531,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","european_georgia","2","ელენე ხოშტარია",1,28411,0.071132,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","free_democrats","20","თენგიზ შერგელაშვილი",1,1007,0.002521,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","gd","41","კახა კალაძე",1,204061,0.510906,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","georgia_2016","17","",1,359,0.000899,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","initiative_group","42","ალექსანდრე ელისაშვილი",1,69803,0.174765,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","labour","10","გიორგი გუგავა",1,3842,0.009619,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","national_democrats","11","დავით შუკაკიძე",1,201,0.000503,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","patriots","8","ირმა ინაშვილი",1,12070,0.03022,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","progressive_democratic_2016","39","ლაშა სტურუა",1,396,0.000991,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","traditionalists","18","ნიკოლოზ სანებლიძე",1,196,0.000491,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","unm","5","ზაალ უდუმაშვილი",1,66259,0.165892,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"2","vashadze_2017","27","გიორგი ვაშაძე",1,7800,0.019529,951159,411847,139402,326702,943423,7736,0.432995,0.14656,0.343478,11260,0.02734
"20","burjanadze_democratic","3","ჯაბა დუგლაძე",1,763,0.02033,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","european_georgia","2","ნინო იმედაშვილი",1,4891,0.130322,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","gd","41","ირაკლი ტაბაღუა",1,19910,0.530509,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","labour","10","ქეთო დევსურაშვილი",1,1191,0.031735,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","new_christian_democrats","23","ნანი წკრიალაშვილი",1,51,0.001359,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","patriots","8","გელა ნაკაშიძე",1,2240,0.059686,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","peoples_power_2016","38","ანნა კეკენაძე",1,355,0.009459,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","traditionalists","18","მზია მამულაშვილი",1,61,0.001625,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","unm","5","ზურაბი მაისურაძე",1,7432,0.198028,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","vashadze_2017","27","თვითმმართველი ქალაქის/თვითმმართველის",1,396,0.010552,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"20","zviads_way","28","ელგუჯა ქოჩიაშვილი",1,240,0.006395,105332,40342,15660,32613,104241,1091,0.382999,0.148673,0.309621,2515,0.062342
"21","burjanadze_democratic","3","ალახვერდი ბახტიაროვი",1,200,0.008105,71371,26312,9850,20106,70938,433,0.368665,0.138011,0.281711,1518,0.057692
"21","european_georgia","2","თელმანი გასანოვი",1,2069,0.083847,71371,26312,9850,20106,70938,433,0.368665,0.138011,0.281711,1518,0.057692
"21","gd","41","რამაზი ბუდაღაშვილი",1,17733,0.718633,71371,26312,9850,20106,70938,433,0.368665,0.138011,0.281711,1518,0.057692
"21","labour","10","ნინო მეტრეველი",1,742,0.03007,71371,26312,9850,20106,70938,433,0.368665,0.138011,0.281711,1518,0.057692
