district_id,district_name_ka,party_id,votes,vote_share,registered,voted,voted_noon,voted_5pm,main_list,special_list,turnout_pct,noon_pct,five_pct,invalid_ballots,invalid_pct
10,გლდანის,fair_georgia_2012,89,0.001,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,free_georgia,232,0.0027,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,freedom_gamsakhurdia,51,0.0006,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,future_georgia,15,0.0002,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,gd,61024,0.7005,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,georgian_group,140,0.0016,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,kostava_society,48,0.0006,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,labour,1384,0.0159,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,ndp_2012,62,0.0007,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,new_rights_2012,267,0.0031,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,peoples_movement_2012,20,0.0002,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,peoples_party,22,0.0003,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,sports_union_2012,64,0.0007,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,unm,22131,0.254,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
10,გლდანის,workers_socialist,29,0.0003,157068,89280,38043,78649,154898,2170,0.5684,0.2422,0.5007,2080,0.0233
11,საგარეჯოს,christian_democrats_2012,341,0.0142,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,fair_georgia_2012,40,0.0017,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,free_georgia,57,0.0024,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,freedom_gamsakhurdia,7,0.0003,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,future_georgia,4,0.0002,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,gd,13683,0.5714,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,georgian_group,12,0.0005,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,kostava_society,2,0.0001,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,labour,214,0.0089,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,ndp_2012,24,0.001,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,new_rights_2012,91,0.0038,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,peoples_movement_2012,7,0.0003,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,peoples_party,5,0.0002,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,sports_union_2012,9,0.0004,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,unm,9441,0.3943,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
11,საგარეჯოს,workers_socialist,8,0.0003,46086,24954,11046,21480,45774,312,0.5415,0.2397,0.4661,983,0.0394
12,გურჯაანის,christian_democrats_2012,953,0.0262,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,fair_georgia_2012,68,0.0019,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,free_georgia,55,0.0015,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,freedom_gamsakhurdia,10,0.0003,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,future_georgia,8,0.0002,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,gd,16378,0.4503,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,georgian_group,10,0.0003,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,kostava_society,7,0.0002,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,labour,727,0.02,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,ndp_2012,40,0.0011,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,new_rights_2012,124,0.0034,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,peoples_movement_2012,12,0.0003,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,peoples_party,5,0.0001,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,sports_union_2012,18,0.0005,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,unm,17944,0.4933,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
12,გურჯაანის,workers_socialist,13,0.0004,55637,37344,14638,31323,55334,303,0.6712,0.2631,0.563,913,0.0244
13,სიღნაღის,christian_democrats_2012,362,0.0173,32104,21476,8501,17439,31767,337,0.669,0.2648,0.5432,530,0.0247
13,სიღნაღის,fair_georgia_2012,34,0.0016,32104,21476,8501,17439,31767,337,0.669,0.2648,0.5432,530,0.0247
