"district_id","party_id","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"13","veterans_patriots_2014",52,31206,15086,5456,11544,30949,257,483,0.003567,0.483433,0.174838,0.369929,0.032016
"13","workers_council_2014",0,31206,15086,5456,11544,30949,257,483,0,0.483433,0.174838,0.369929,0.032016
"14","burjanadze_united_opposition_2014",332,22814,11725,4542,9043,22622,192,275,0.029034,0.513939,0.199088,0.396379,0.023454
"14","christian_democrats_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","freedom_zviads_way_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","future_georgia_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","gd",9658,22814,11725,4542,9043,22622,192,275,0.8446,0.513939,0.199088,0.396379,0.023454
"14","georgian_party_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","georgias_way_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","greens_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","kostava_society",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","labour",243,22814,11725,4542,9043,22622,192,275,0.021251,0.513939,0.199088,0.396379,0.023454
"14","nonparliamentary_opposition_2014",86,22814,11725,4542,9043,22622,192,275,0.007521,0.513939,0.199088,0.396379,0.023454
"14","our_georgia_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","patriots",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","peoples_movement_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
"14","peoples_party_2014",0,22814,11725,4542,9043,22622,192,275,0,0.513939,0.199088,0.396379,0.023454
