district_id,vote_type,district_name_ka,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
58,pr,წყალტუბო,54474,23567,0.4326,9883,18402,53828,646,0.1814,0.3378,732,0.0311
59,pr,ქუთაისი,163046,67893,0.4164,29332,53342,157886,5160,0.1799,0.3272,2153,0.0317
60,pr,ოზურგეთი,64086,37379,0.5833,18007,30393,63802,284,0.281,0.4743,1127,0.0302
61,pr,ლანჩხუთი,30060,19095,0.6352,9386,15749,29909,151,0.3122,0.5239,864,0.0452
62,pr,ჩოხატაური,18803,13072,0.6952,6493,10887,18697,106,0.3453,0.579,372,0.0285
63,pr,აბაშა,21719,13682,0.63,6249,10675,21638,81,0.2877,0.4915,402,0.0294
64,pr,სენაკი,45635,23523,0.5155,10067,16733,41512,4123,0.2206,0.3667,784,0.0333
65,pr,მარტვილი,34835,19475,0.5591,8148,15257,34685,150,0.2339,0.438,658,0.0338
66,pr,ხობი,29764,17211,0.5782,8373,14837,29611,153,0.2813,0.4985,660,0.0383
67,pr,ზუგდიდი,129821,51475,0.3965,21445,38516,127790,2031,0.1652,0.2967,1820,0.0354
68,pr,წალენჯიხა,32056,13900,0.4336,6358,10993,31903,153,0.1983,0.3429,515,0.0371
69,pr,ჩხოროწყუ,23427,13558,0.5787,6812,10973,23345,82,0.2908,0.4684,382,0.0282
70,pr,ფოთი,40009,20765,0.519,9410,16458,38965,1044,0.2352,0.4114,630,0.0303
79,pr,ბათუმი,97214,43258,0.445,18144,36196,96343,871,0.1866,0.3723,1257,0.0291
80,pr,ქედა,15276,10012,0.6554,4015,7723,15171,105,0.2628,0.5056,256,0.0256
81,pr,ქობულეთი,62305,34194,0.5488,14490,26658,61735,570,0.2326,0.4279,681,0.0199
82,pr,შუახევი,15221,10171,0.6682,4564,7638,15056,165,0.2998,0.5018,280,0.0275
83,pr,ხელვაჩაური,70465,34658,0.4918,14531,27295,69534,931,0.2062,0.3874,1354,0.0391
84,pr,ხულო,23688,15361,0.6485,5704,11550,23576,112,0.2408,0.4876,285,0.0186
85,pr,ლიახვი,10196,7469,0.7325,3711,6167,9786,410,0.364,0.6048,174,0.0233
86,pr,ზემო აფხაზეთი,2685,1554,0.5788,481,718,2654,31,0.1791,0.2674,84,0.0541
87,pr,საზღვარგარეთი,69852,11104,0.159,0,0,24982,44870,0,0,146,0.0131
national,smd,ეროვნული,3522962,1830581,0.5196,759279,1433090,3471163,51799,0.2155,0.4068,59370,0.0324
1,smd,მთაწმინდა,48726,27242,0.5591,9082,19314,48356,370,0.1864,0.3964,487,0.0179
2,smd,ვაკე,97123,52244,0.5379,20854,43818,96564,559,0.2147,0.4512,1768,0.0338
3,smd,საბურთალო,118329,60556,0.5118,23531,49179,116949,1380,0.1989,0.4156,1235,0.0204
4,smd,კრწანისი,49656,23909,0.4815,7343,16266,47259,2397,0.1479,0.3276,1116,0.0467
5,smd,ისანი,110719,46235,0.4176,19006,38202,109652,1067,0.1717,0.345,1201,0.026
6,smd,სამგორი,147031,59885,0.4073,24561,49056,145223,1808,0.167,0.3336,1797,0.03
7,smd,ჩუღურეთი,55508,26484,0.4771,10511,21727,54644,864,0.1894,0.3914,1005,0.0379
8,smd,დიდუბე,72804,37876,0.5202,15368,32688,70836,1968,0.2111,0.449,1125,0.0297
9,smd,ნაძალადევი,130728,60843,0.4654,24499,50165,129864,864,0.1874,0.3837,2208,0.0363
10,smd,გლდანი,149145,61289,0.4109,26732,51966,148114,1031,0.1792,0.3484,1783,0.0291
11,smd,საგარეჯო,42921,27148,0.6325,10253,20706,41855,1066,0.2389,0.4824,5137,0.1892
12,smd,გურჯაანი,55432,30993,0.5591,11689,21853,55189,243,0.2109,0.3942,558,0.018
13,smd,სიღნაღი,31955,20650,0.6462,8032,15234,31722,233,0.2514,0.4767,509,0.0246
14,smd,დედოფლისწყარო,23297,12653,0.5431,5545,10365,23180,117,0.238,0.4449,420,0.0332
15,smd,ლაგოდეხი,38040,21555,0.5666,8253,16468,37820,220,0.217,0.4329,639,0.0296
16,smd,ყვარელი,29283,17534,0.5988,7025,13510,29127,156,0.2399,0.4614,495,0.0282
17,smd,თელავი,57441,28175,0.4905,10084,19681,56316,1125,0.1756,0.3426,981,0.0348
18,smd,ახმეტა,29425,17476,0.5939,6497,12754,29296,129,0.2208,0.4334,279,0.016
19,smd,თიანეთი,11590,6695,0.5777,2592,5026,11495,95,0.2236,0.4336,227,0.0339
20,smd,რუსთავი,104569,44449,0.4251,19036,35653,103241,1328,0.182,0.341,1019,0.0229
21,smd,გარდაბანი,71820,34273,0.4772,11467,23049,67705,4115,0.1597,0.3209,1592,0.0465
22,smd,მარნეული,91557,40544,0.4428,15935,28359,90318,1239,0.174,0.3097,2679,0.0661
23,smd,ბოლნისი,54971,29349,0.5339,11997,21555,54511,460,0.2182,0.3921,730,0.0249
24,smd,დმანისი,22354,11568,0.5175,6199,9835,21928,426,0.2773,0.44,277,0.0239
25,smd,წალკა,22593,7495,0.3317,3475,6383,22255,338,0.1538,0.2825,687,0.0917
