precinct_id,district_id,vote_type,district_name_en,precinct_number,registered,voted,turnout_pct,voted_noon,voted_5pm,main_list,special_list,noon_pct,five_pct,invalid_ballots,invalid_pct
3039,3,pr,Saburtalo,39,1249,747,0.598078,200,620,1196,53,0.160128,0.496397,4,0.005355
3040,3,pr,Saburtalo,40,1546,843,0.545278,260,676,1496,54,0.168176,0.437257,4,0.004745
3041,3,pr,Saburtalo,41,1162,664,0.571429,203,480,1112,54,0.174699,0.413081,3,0.004518
3042,3,pr,Saburtalo,42,1448,680,0.469613,215,611,1382,66,0.148481,0.421961,3,0.004412
3043,3,pr,Saburtalo,43,1464,718,0.490437,171,604,1395,73,0.116803,0.412568,13,0.018106
3044,3,pr,Saburtalo,44,1550,884,0.570323,190,743,1494,60,0.122581,0.479355,3,0.003394
3045,3,pr,Saburtalo,45,1264,742,0.587025,179,705,1223,41,0.141614,0.557753,6,0.008086
3046,3,pr,Saburtalo,46,1361,660,0.484938,165,550,1330,33,0.121234,0.404115,6,0.009091
3047,3,pr,Saburtalo,47,1505,832,0.552824,183,716,1447,58,0.121595,0.475748,12,0.014423
3048,3,pr,Saburtalo,48,706,706,1,201,605,1478,46,0.284703,0.856941,6,0.008499
3049,3,pr,Saburtalo,49,1560,740,0.474359,205,607,1488,78,0.13141,0.389103,8,0.010811
3050,3,pr,Saburtalo,50,1505,809,0.537542,201,688,1444,63,0.133555,0.457143,57,0.070457
3051,3,pr,Saburtalo,51,1538,813,0.528609,225,680,1490,54,0.146294,0.442133,4,0.00492
3052,3,pr,Saburtalo,52,1588,793,0.49937,188,680,1524,64,0.118388,0.428212,12,0.015132
3053,3,pr,Saburtalo,53,1509,662,0.438701,187,570,1442,75,0.123923,0.377734,6,0.009063
3054,3,pr,Saburtalo,54,1457,910,0.624571,226,534,1395,62,0.155113,0.366507,5,0.005495
3055,3,pr,Saburtalo,55,1408,921,0.654119,212,771,1353,59,0.150568,0.547585,13,0.014115
3056,3,pr,Saburtalo,56,2203,999,0.453473,229,584,2030,188,0.103949,0.265093,52,0.052052
3057,3,pr,Saburtalo,57,1717,841,0.489808,200,659,1577,140,0.116482,0.383809,8,0.009512
3058,3,pr,Saburtalo,58,2447,1274,0.520638,530,863,3345,87,0.216592,0.352677,24,0.018838
