electoral_district_id,raw_vote_code,ballot_code,party_id,name_ka,first_name,last_name,presenter
25,9,9,fair_georgia_2012,ჯონი ღორჯომელაძე,ჯონი,ღორჯომელაძე,"9. ""სამართლიანი საქართველოსთვის"""
25,10,10,christian_democrats_2012,ავთანდილ ტუნაძე,ავთანდილ,ტუნაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
25,38,38,labour,ნონა ბექაური,ნონა,ბექაური,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
25,41,41,gd,აიკ მელტონიან,აიკ,მელტონიან,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
26,1,1,free_georgia,ლალი აფციაური,ლალი,აფციაური,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
26,5,5,unm,დავით ბეჟუაშვილი,დავით,ბეჟუაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
26,10,10,christian_democrats_2012,თეა ლიპარტელიანი,თეა,ლიპარტელიანი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
26,24,24,new_rights_2012,გია გოცირიძე,გია,გოცირიძე,"24. ""ახალი მემარჯვენეები"""
26,35,35,future_georgia,ნათელა მშვენიერაძე,ნათელა,მშვენიერაძე,35. ”მომავალი საქართველო”
26,41,41,gd,შალვა ხაჭაპურიძე,შალვა,ხაჭაპურიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
27,5,5,unm,ანდრო კალანდაძე,ანდრო,კალანდაძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
27,9,9,fair_georgia_2012,ვასილ ოდიშვილი,ვასილ,ოდიშვილი,"9. ""სამართლიანი საქართველოსთვის"""
27,10,10,christian_democrats_2012,გალინა ახსაბაძე,გალინა,ახსაბაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
27,24,24,new_rights_2012,მურად ჩხაიძე,მურად,ჩხაიძე,"24. ""ახალი მემარჯვენეები"""
27,38,38,labour,ვაჟა რაზიკაშვილი,ვაჟა,რაზიკაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
27,41,41,gd,დიმიტრი ხუნდაძე,დიმიტრი,ხუნდაძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
28,1,1,free_georgia,ალექსი კობაიძე,ალექსი,კობაიძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
28,5,5,unm,ნინო ხუციშვილი,ნინო,ხუციშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
28,9,9,fair_georgia_2012,თამაზ ბედუკაძე,თამაზ,ბედუკაძე,"9. ""სამართლიანი საქართველოსთვის"""
28,24,24,new_rights_2012,ვეფხვია ბოდაველი,ვეფხვია,ბოდაველი,"24. ""ახალი მემარჯვენეები"""
28,38,38,labour,შალვა ნათელაშვილი,შალვა,ნათელაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
28,41,41,gd,ერეკლე ტრიპოლსკი,ერეკლე,ტრიპოლსკი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
29,1,1,free_georgia,ზვიად ჩიტიშვილი,ზვიად,ჩიტიშვილი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
29,5,5,unm,გოჩა მალანია,გოჩა,მალანია,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
29,10,10,christian_democrats_2012,ვაჟა მარსაგიშვილი,ვაჟა,მარსაგიშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
29,35,35,future_georgia,ნატვრისა ბურდული,ნატვრისა,ბურდული,35. ”მომავალი საქართველო”
29,38,38,labour,ნუგზარ გიგაური,ნუგზარ,გიგაური,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
29,41,41,gd,მირიან წიკლაური,მირიან,წიკლაური,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
30,1,1,free_georgia,ლაშა ფავლენიშვილი,ლაშა,ფავლენიშვილი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
30,5,5,unm,კახაბერ ხაჩირაშვილი,კახაბერ,ხაჩირაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
30,9,9,fair_georgia_2012,ნოდარ ბულბულაშვილი,ნოდარ,ბულბულაშვილი,"9. ""სამართლიანი საქართველოსთვის"""
30,10,10,christian_democrats_2012,ივანე ივანიშვილი,ივანე,ივანიშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
30,24,24,new_rights_2012,დავით ციხისთავი,დავით,ციხისთავი,"24. ""ახალი მემარჯვენეები"""
30,38,38,labour,მამუკა სალამაშვილი,მამუკა,სალამაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
30,41,41,gd,დავით ონოფრიშვილი,დავით,ონოფრიშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
32,1,1,free_georgia,გიორგი ამაშუკელი,გიორგი,ამაშუკელი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
32,5,5,unm,გიორგი ტატიშვილი,გიორგი,ტატიშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
32,9,9,fair_georgia_2012,გივი სადაღაშვილი,გივი,სადაღაშვილი,"9. ""სამართლიანი საქართველოსთვის"""
32,10,10,christian_democrats_2012,ზურაბ როსებაშვილი,ზურაბ,როსებაშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
32,19,19,freedom_gamsakhurdia,ზაზა მეზვრიშვილი,ზაზა,მეზვრიშვილი,19. ”თავისუფლება - ზვიად გამსახურდიას გზა”
32,24,24,new_rights_2012,იოსებ ბორცვაძე,იოსებ,ბორცვაძე,"24. ""ახალი მემარჯვენეები"""
32,38,38,labour,მალხაზ მამესწარაშვილი,მალხაზ,მამესწარაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
32,41,41,gd,მალხაზ ვახტანგაშვილი,მალხაზ,ვახტანგაშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
33,1,1,free_georgia,ხათუნა მაისურაძე,ხათუნა,მაისურაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
33,5,5,unm,ილია ბურჯანაძე,ილია,ბურჯანაძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
33,9,9,fair_georgia_2012,დალი რუსაშვილი,დალი,რუსაშვილი,"9. ""სამართლიანი საქართველოსთვის"""
33,10,10,christian_democrats_2012,დათო ვარძელაშვილი,დათო,ვარძელაშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
33,19,19,freedom_gamsakhurdia,გენადი მამაგულაშვილი,გენადი,მამაგულაშვილი,19. ”თავისუფლება - ზვიად გამსახურდიას გზა”
33,24,24,new_rights_2012,დავით ბერუაშვილი,დავით,ბერუაშვილი,"24. ""ახალი მემარჯვენეები"""
33,36,36,workers_socialist,ელგუჯა გაჩეჩილაძე,ელგუჯა,გაჩეჩილაძე,36. ”საქართველოს მშრომელთა საბჭო”
33,38,38,labour,კობა მუგასაშვილი,კობა,მუგასაშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
33,41,41,gd,ლერი ხაბელოვი,ლერი,ხაბელოვი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
35,1,1,free_georgia,რუსუდან მუმლაძე-ავალიანი,რუსუდან,მუმლაძე-ავალიანი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
35,5,5,unm,სერგო ქიტიაშვილი,სერგო,ქიტიაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
35,9,9,fair_georgia_2012,რამაზ ახალკაცი,რამაზ,ახალკაცი,"9. ""სამართლიანი საქართველოსთვის"""
35,10,10,christian_democrats_2012,ეკატერინე მჭედლიშვილი,ეკატერინე,მჭედლიშვილი,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
35,24,24,new_rights_2012,მაია ახალკაცი,მაია,ახალკაცი,"24. ""ახალი მემარჯვენეები"""
35,41,41,gd,ვალერი გელაშვილი,ვალერი,გელაშვილი,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
36,1,1,free_georgia,დავით ნოზაძე,დავით,ნოზაძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
36,5,5,unm,მამუკა ხვედელიანი,მამუკა,ხვედელიანი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
36,10,10,christian_democrats_2012,მურმან ბლიაძე,მურმან,ბლიაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
36,24,24,new_rights_2012,რომანოზ ახვლედიანი,რომანოზ,ახვლედიანი,"24. ""ახალი მემარჯვენეები"""
36,38,38,labour,გივი მჭედლიშვილი,გივი,მჭედლიშვილი,38. ”შალვა ნათელაშვილი - საქართველოს ლეიბორისტული პარტია”
36,41,41,gd,გედევან ფოფხაძე,გედევან,ფოფხაძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
37,1,1,free_georgia,რევაზ სამსონიძე,რევაზ,სამსონიძე,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
37,5,5,unm,ვაჟა ჩიტაშვილი,ვაჟა,ჩიტაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
37,24,24,new_rights_2012,მალხაზ გოგოლაძე,მალხაზ,გოგოლაძე,"24. ""ახალი მემარჯვენეები"""
37,41,41,gd,გურამ კუტალაძე,გურამ,კუტალაძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
38,5,5,unm,ზურაბ ჩილინგარაშვილი,ზურაბ,ჩილინგარაშვილი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
38,41,41,gd,ბიძინა გუჯაბიძე,ბიძინა,გუჯაბიძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
39,5,5,unm,ტარიელ ლონდარიძე,ტარიელ,ლონდარიძე,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
39,24,24,new_rights_2012,გია ჭელიშვილი,გია,ჭელიშვილი,"24. ""ახალი მემარჯვენეები"""
39,41,41,gd,თემურ მაისურაძე,თემურ,მაისურაძე,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
40,1,1,free_georgia,კარინე ბარსეგიანი,კარინე,ბარსეგიანი,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
40,5,5,unm,სამველ პეტროსიანი,სამველ,პეტროსიანი,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
40,10,10,christian_democrats_2012,სოსო ბალახაძე,სოსო,ბალახაძე,10. ”გიორგი თარგამაძე - ქრისტიან-დემოკრატიული გაერთიანება”
40,24,24,new_rights_2012,გრიგორ მნაცაკანიან,გრიგორ,მნაცაკანიან,"24. ""ახალი მემარჯვენეები"""
40,36,36,workers_socialist,ხაჩატურ ვართანიანცი,ხაჩატურ,ვართანიანცი,36. ”საქართველოს მშრომელთა საბჭო”
40,41,41,gd,ნორიკ კარაპეტიან,ნორიკ,კარაპეტიან,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
41,1,1,free_georgia,ედუარდი ქოჩარიან,ედუარდი,ქოჩარიან,"1. ""კახა კუკავა - თავისუფალი საქართველო"""
41,5,5,unm,ენზელ მკოიან,ენზელ,მკოიან,"5. ""ერთიანი ნაციონალური მოძრაობა - მეტი სარგებელი ხალხს"""
41,24,24,new_rights_2012,მარტინ მღდესიან,მარტინ,მღდესიან,"24. ""ახალი მემარჯვენეები"""
41,41,41,gd,ალბერტ ნურბეგიან,ალბერტ,ნურბეგიან,41. ”ბიძინა ივანიშვილი - ქართული ოცნება”
