"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
611,6,1,11,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","კობა ვაჩეიშვილი","კობა","ვაჩეიშვილი"
611,6,1,11,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ცისანა კაპანაძე","ცისანა","კაპანაძე"
611,6,1,11,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","ირაკლი სარჯველაძე","ირაკლი","სარჯველაძე"
611,6,1,11,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","გიორგი აფხაზიშვილი","გიორგი","აფხაზიშვილი"
612,6,1,12,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","დავით კერესელიძე","დავით","კერესელიძე"
612,6,1,12,"3","industry_sakartvelo","თოფაძე-მრეწველები","ზურაბ მუშკუდიანი","ზურაბ","მუშკუდიანი"
612,6,1,12,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","კახა გურული","კახა","გურული"
612,6,1,12,"7","national_council_2010","“ეროვნული საბჭო”","სერგო ჯავახიძე","სერგო","ჯავახიძე"
612,6,1,12,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","კონსტანტინე ფორჩხიძე","კონსტანტინე","ფორჩხიძე"
612,6,1,12,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","ლევან კაკაბაძე","ლევან","კაკაბაძე"
612,6,1,12,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ირაკლი ჩაჩუა","ირაკლი","ჩაჩუა"
612,6,1,12,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","მინდია ჭინჭარაული","მინდია","ჭინჭარაული"
612,6,1,12,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","კულიხან ტამოევი","კულიხან","ტამოევი"
