self_governing_unit,vote_type,candidate_name,candidate_political_party,majoritarian_district_id
15,sakrebulo pr,კარლო ჯამბურია,ქართული ოცნება,
15,sakrebulo pr,ივანე ხაჩიძე,ქართული ოცნება,
15,sakrebulo pr,მაკა მოდებაძე,ქართული ოცნება,
15,sakrebulo pr,გიორგი ღამბაშიძე,ქართული ოცნება,
15,sakrebulo pr,გიორგი შუბითიძე,ქართული ოცნება,
15,sakrebulo pr,ომარი შველიძე,ქართული ოცნება,
15,sakrebulo pr,სიმონი კვერნაძე,ქართული ოცნება,
15,sakrebulo pr,ნინო კუპრაშვილი,ქართული ოცნება,
15,sakrebulo pr,ბესარიონი შუბითიძე,ქართული ოცნება,
15,sakrebulo pr,ეკატერინე ლეკიაშვილი,ქართული ოცნება,
15,sakrebulo pr,ლელა ნატროშვილი,ქართული ოცნება,
15,sakrebulo pr,ალექსანდრე ბაინდურაშვილი,ქართული ოცნება,
15,sakrebulo pr,დაჩი მჭედლიშვილი,ქართული ოცნება,
15,sakrebulo pr,ზვიადი ფხალაძე,ქართული ოცნება,
15,sakrebulo pr,ხვიჩა კუზიბაბაშვილი,ძლიერი საქართველო-ლელო,
15,sakrebulo smd,ირაკლი ტაბატაძე,ქართული ოცნება,15.01
15,sakrebulo smd,ვლადიმერი ალიბეგაშვილი,ქართული ოცნება,15.02
15,sakrebulo smd,ალექსი ჩიღოშვილი,ქართული ოცნება,15.03
15,sakrebulo smd,ალექსანდრე კაციტაძე,ქართული ოცნება,15.04
15,sakrebulo smd,ლუკა მუმლაძე,ქართული ოცნება,15.05
15,sakrebulo smd,ვიტალი გუგეშაშვილი,ქართული ოცნება,15.06
15,sakrebulo smd,გოგიტა ბუთლიაშვილი,ქართული ოცნება,15.07
15,sakrebulo smd,რაფაელ ფაშაევი,ქართული ოცნება,15.08
15,sakrebulo smd,იოსები ვარდიაშვილი,ქართული ოცნება,15.09
15,sakrebulo smd,ხვიჩა ყაველაშვილი,ქართული ოცნება,15.10
15,sakrebulo smd,ვახტანგი ჭიპაშვილი,ქართული ოცნება,15.11
15,sakrebulo smd,გიორგი ყიფშიძე,ქართული ოცნება,15.12
15,sakrebulo smd,ალექსანდრე ხახიშვილი,ქართული ოცნება,15.13
15,sakrebulo smd,მაირბეგ ქოზაევი,ქართული ოცნება,15.14
15,sakrebulo smd,თორნიკე ტალახაძე,ქართული ოცნება,15.15
15,sakrebulo smd,შორენა ხაჩიაშვილი,ქართული ოცნება,15.16
16,sakrebulo pr,გივი ზაუტაშვილი,ქართული ოცნება,
16,sakrebulo pr,თამილა ბურკიაშვილი,ქართული ოცნება,
16,sakrebulo pr,ქეთევანი ჭიპაშვილი,ქართული ოცნება,
16,sakrebulo pr,იოსები სეფაშვილი,ქართული ოცნება,
16,sakrebulo pr,ბესიკ კაციტაძე,ქართული ოცნება,
16,sakrebulo pr,ვანო მამულაშვილი,ქართული ოცნება,
16,sakrebulo pr,ქეთევანი სეფაშვილი,ქართული ოცნება,
16,sakrebulo pr,ზურაბი ჩხეიძე,ქართული ოცნება,
16,sakrebulo pr,ლალი თვალიაშვილი,ქართული ოცნება,
16,sakrebulo pr,ლუკა ბულბულაშვილი,ქართული ოცნება,
16,sakrebulo pr,მამუკა ნათელაძე,ქართული ოცნება,
16,sakrebulo pr,ვლადიმერი გელაძე,ქართული ოცნება,
16,sakrebulo pr,თამარ ჭერაშვილი,ქართული ოცნება,
16,sakrebulo pr,კობა ფაჩოშვილი,ძლიერი საქართველო-ლელო,
16,sakrebulo pr,გიორგი ბუჯიაშვილი,„კონსერვატორები საქართველოსთვის“,
16,sakrebulo smd,ვახტანგი ხარატიშვილი,ქართული ოცნება,16.01
16,sakrebulo smd,ვალერი გოქსაძე,ქართული ოცნება,16.02
16,sakrebulo smd,"ვლადიმერი
ხაზალიშვილი",ქართული ოცნება,16.03
16,sakrebulo smd,ზურაბი კაპანაძე,ქართული ოცნება,16.04
16,sakrebulo smd,კახა ასისტიშვილი,ქართული ოცნება,16.05
16,sakrebulo smd,რევი ხვედელიძე,ქართული ოცნება,16.06
16,sakrebulo smd,პაატა ხაჩიშვილი,ქართული ოცნება,16.07
16,sakrebulo smd,დათო ვარადაშვილი,ქართული ოცნება,16.08
16,sakrebulo smd,გიორგი ამირხანოვი,ქართული ოცნება,16.09
16,sakrebulo smd,იოსები სოლომნიშვილი,ქართული ოცნება,16.10
16,sakrebulo smd,მამუკა ბერიაშვილი,ქართული ოცნება,16.11
16,sakrebulo smd,კონსტანტინე ცხოვრებაძე,ქართული ოცნება,16.12
17,sakrebulo pr,არჩილი თხლაშიძე,ქართული ოცნება,
17,sakrebulo pr,თინათინ ხანჯალიაშვილი,ქართული ოცნება,
17,sakrebulo pr,მარიამ ლილუაშვილი,ქართული ოცნება,
